claim_id,study,metric,value,unit,denominator,cohort,source_file,source_column_or_derivation,script,snapshot_id,git_commit,status,notes
B_CORPUS_raw_prescriptions,Study B,raw_prescriptions,893,count,893,full893,derived/layer_a_documents.csv; derived/layer_a_medication_mentions.csv,raw_prescriptions,scripts/reproduce_paper_artifacts.py,FINAL_893,UNCOMMITTED,VERIFIED_FINAL,
B_CORPUS_deidentified_prescriptions,Study B,deidentified_prescriptions,893,count,893,full893,derived/layer_a_documents.csv; derived/layer_a_medication_mentions.csv,deidentified_prescriptions,scripts/reproduce_paper_artifacts.py,FINAL_893,UNCOMMITTED,VERIFIED_FINAL,
B_CORPUS_annotation_complete_prescriptions,Study B,annotation_complete_prescriptions,893,count,893,full893,derived/layer_a_documents.csv; derived/layer_a_medication_mentions.csv,annotation_complete_prescriptions,scripts/reproduce_paper_artifacts.py,FINAL_893,UNCOMMITTED,VERIFIED_FINAL,
B_CORPUS_pipeline_evaluated_prescriptions,Study B,pipeline_evaluated_prescriptions,893,count,893,full893,derived/layer_a_documents.csv; derived/layer_a_medication_mentions.csv,pipeline_evaluated_prescriptions,scripts/reproduce_paper_artifacts.py,FINAL_893,UNCOMMITTED,VERIFIED_FINAL,
B_CORPUS_medication_bearing_prescriptions,Study B,medication_bearing_prescriptions,782,count,893,full893,derived/layer_a_documents.csv; derived/layer_a_medication_mentions.csv,medication_bearing_prescriptions,scripts/reproduce_paper_artifacts.py,FINAL_893,UNCOMMITTED,VERIFIED_FINAL,
B_CORPUS_zero_medication_prescriptions,Study B,zero_medication_prescriptions,111,count,893,full893,derived/layer_a_documents.csv; derived/layer_a_medication_mentions.csv,zero_medication_prescriptions,scripts/reproduce_paper_artifacts.py,FINAL_893,UNCOMMITTED,VERIFIED_FINAL,
B_CORPUS_medication_mentions,Study B,medication_mentions,3027,count,3027,full893,derived/layer_a_documents.csv; derived/layer_a_medication_mentions.csv,medication_mentions,scripts/reproduce_paper_artifacts.py,FINAL_893,UNCOMMITTED,VERIFIED_FINAL,
B_CORPUS_unique_medication_surface_forms,Study B,unique_medication_surface_forms,1276,count,3027,full893,derived/layer_a_documents.csv; derived/layer_a_medication_mentions.csv,unique_medication_surface_forms,scripts/reproduce_paper_artifacts.py,FINAL_893,UNCOMMITTED,VERIFIED_FINAL,
B_VERIFICATION_ACCEPT,Study B,verification_ACCEPT,2803,mentions,3027,full893,derived/layer_b/layer_b_v1_1.csv,verification_decision value_counts,scripts/reproduce_paper_artifacts.py,FINAL_893,UNCOMMITTED,VERIFIED_FINAL,
B_VERIFICATION_HUMAN_REVIEW,Study B,verification_HUMAN_REVIEW,223,mentions,3027,full893,derived/layer_b/layer_b_v1_1.csv,verification_decision value_counts,scripts/reproduce_paper_artifacts.py,FINAL_893,UNCOMMITTED,VERIFIED_FINAL,
B_VERIFICATION_NIL,Study B,verification_NIL,1,mentions,3027,full893,derived/layer_b/layer_b_v1_1.csv,verification_decision value_counts,scripts/reproduce_paper_artifacts.py,FINAL_893,UNCOMMITTED,VERIFIED_FINAL,
B_ID_rxcui_count,Study B,rxcui_count,424,count_or_percent,3027,full893,derived/layer_b/layer_b_v1_1.csv,semantic identifier derived flags,scripts/reproduce_paper_artifacts.py,FINAL_893,UNCOMMITTED,VERIFIED_FINAL,
B_ID_rxcui_percent,Study B,rxcui_percent,14.0,count_or_percent,3027,full893,derived/layer_b/layer_b_v1_1.csv,semantic identifier derived flags,scripts/reproduce_paper_artifacts.py,FINAL_893,UNCOMMITTED,VERIFIED_FINAL,
B_ID_atc_count,Study B,atc_count,106,count_or_percent,3027,full893,derived/layer_b/layer_b_v1_1.csv,semantic identifier derived flags,scripts/reproduce_paper_artifacts.py,FINAL_893,UNCOMMITTED,VERIFIED_FINAL,
B_ID_atc_percent,Study B,atc_percent,3.5,count_or_percent,3027,full893,derived/layer_b/layer_b_v1_1.csv,semantic identifier derived flags,scripts/reproduce_paper_artifacts.py,FINAL_893,UNCOMMITTED,VERIFIED_FINAL,
B_ID_local_brand_family_count,Study B,local_brand_family_count,2623,count_or_percent,3027,full893,derived/layer_b/layer_b_v1_1.csv,semantic identifier derived flags,scripts/reproduce_paper_artifacts.py,FINAL_893,UNCOMMITTED,VERIFIED_FINAL,
B_ID_local_brand_family_percent,Study B,local_brand_family_percent,86.7,count_or_percent,3027,full893,derived/layer_b/layer_b_v1_1.csv,semantic identifier derived flags,scripts/reproduce_paper_artifacts.py,FINAL_893,UNCOMMITTED,VERIFIED_FINAL,
B_ID_local_product_count,Study B,local_product_count,0,count_or_percent,3027,full893,derived/layer_b/layer_b_v1_1.csv,semantic identifier derived flags,scripts/reproduce_paper_artifacts.py,FINAL_893,UNCOMMITTED,VERIFIED_FINAL,
B_ID_local_product_percent,Study B,local_product_percent,0.0,count_or_percent,3027,full893,derived/layer_b/layer_b_v1_1.csv,semantic identifier derived flags,scripts/reproduce_paper_artifacts.py,FINAL_893,UNCOMMITTED,VERIFIED_FINAL,
B_ID_any_local_semantic_id_count,Study B,any_local_semantic_id_count,3017,count_or_percent,3027,full893,derived/layer_b/layer_b_v1_1.csv,semantic identifier derived flags,scripts/reproduce_paper_artifacts.py,FINAL_893,UNCOMMITTED,VERIFIED_FINAL,
B_ID_any_local_semantic_id_percent,Study B,any_local_semantic_id_percent,99.7,count_or_percent,3027,full893,derived/layer_b/layer_b_v1_1.csv,semantic identifier derived flags,scripts/reproduce_paper_artifacts.py,FINAL_893,UNCOMMITTED,VERIFIED_FINAL,
B_ID_no_semantic_identifier_count,Study B,no_semantic_identifier_count,1,count_or_percent,3027,full893,derived/layer_b/layer_b_v1_1.csv,semantic identifier derived flags,scripts/reproduce_paper_artifacts.py,FINAL_893,UNCOMMITTED,VERIFIED_FINAL,
B_ID_no_semantic_identifier_percent,Study B,no_semantic_identifier_percent,0.0,count_or_percent,3027,full893,derived/layer_b/layer_b_v1_1.csv,semantic identifier derived flags,scripts/reproduce_paper_artifacts.py,FINAL_893,UNCOMMITTED,VERIFIED_FINAL,
A_BENCHMARK_GPT55,Study A,GPT-5.5 best primary benchmark score,0.9134,score,125,benchmark125,paper_artifacts/benchmarking/annotation_model_leaderboard_reproduced.csv,max GPT-5.5 primary_score,scripts/reproduce_paper_artifacts.py,FINAL_893,UNCOMMITTED,LEGACY_LIMITED,Per-record outputs/model aliases are not fully reconstructed; do not generalize beyond this benchmark.
C_QWEN_MAPPING_SUPPORTED,Study C,SUPPORTED,558,mentions,762,audit762,expert validation paper/04_local_open_models/qwen/qwen_final_validation762_results.csv,mapping_assessment value_counts,scripts/reproduce_paper_artifacts.py,FINAL_893,UNCOMMITTED,VERIFIED_HISTORICAL,"Automated audit, not human ground truth"
