document_uid,mentions
DOC_62e420392490646b4baf,3.0
DOC_d7b3a0a2c42ecd5d4785,3.0
DOC_c36bb967dee3390ca155,5.0
DOC_081cb990aaa9cb8708b1,3.0
DOC_27d9a1be994e1cdd74f2,12.0
DOC_1d214c583706931e4975,5.0
DOC_e92993b80f2c462e177b,11.0
DOC_b4ab22c9a753967ddd21,5.0
DOC_917f2939ddb685925683,4.0
DOC_1bb75c411a8f8ac9a714,9.0
DOC_ca583fb0063bfc096db1,5.0
DOC_81e1cbbb5073ee88bf21,3.0
DOC_126e240e6c49dc9e8d68,5.0
DOC_5c8bb64b10318009fccc,4.0
DOC_34d634b85c6a28ac9af8,6.0
DOC_9a203bfc25ec90697fe6,3.0
DOC_bb3821243b62182eb2db,3.0
DOC_31f791e92d61244bb622,4.0
DOC_e5be414d24a05c3ca4a2,5.0
DOC_21b890168557e346a8ef,1.0
DOC_c7d9605ee7486a8d15aa,0.0
DOC_54a130f8479ac108091b,3.0
DOC_14b86c411b1ad91b9f1e,4.0
DOC_6808cb2933dd1b236304,4.0
DOC_23dccd1c0854557b4a56,2.0
DOC_b418fb68d4c18a3a9062,0.0
DOC_9b4867b962d182c88a5b,3.0
DOC_19e479ce61a6c336a78c,2.0
DOC_4aa847305ddb22e72f44,5.0
DOC_0e4de0f9366826873935,2.0
DOC_d6f7bf0ee0c7f62f6c28,5.0
DOC_265cac4862eb4d21ccaf,5.0
DOC_b9a8f426940497663078,4.0
DOC_1c8c470db60ade51e9d5,5.0
DOC_ba748c4fb199e211f917,4.0
DOC_1d1e750fd595d702e047,3.0
DOC_a1e9acef7935891a1b26,4.0
DOC_662b3e7f3fd4f5f2cd1d,5.0
DOC_effa6cfe886282d87ecb,2.0
DOC_1bbb9941ef6240935951,4.0
DOC_fb59923757c69350f7a1,2.0
DOC_06a4c6b94bd9742372ad,3.0
DOC_f1c3d35fc26382fb0392,4.0
DOC_42aed47f99a8acf2a32d,3.0
DOC_95fc4bb9671b753f0e24,3.0
DOC_d8429d77f3374528924f,0.0
DOC_a04d59fbcd668e9a2656,6.0
DOC_de12f976b9eed3c623c9,0.0
DOC_3a97eb2ef4e69780b88d,2.0
DOC_f81ce68c831d5368e327,4.0
DOC_3e93b1508f92c802233d,4.0
DOC_4e7f26903a8fbe2cb412,8.0
DOC_5b81b939351c2eb9a4d1,4.0
DOC_400efeb8f8d196d536a4,5.0
DOC_d202694c86cffd9935cf,3.0
DOC_3ab537b76e0916431d8f,2.0
DOC_067d7dd36f1265dac9f8,2.0
DOC_25b419ef690adfa6f0f0,3.0
DOC_3193f6d22b65ec318452,7.0
DOC_ee5ecd1edf0216a4d643,9.0
DOC_a23e59518d85698cc338,3.0
DOC_9775c767f440b3d93ce3,4.0
DOC_c1e361dd13518187f872,3.0
DOC_d0d9b2a0e2952222a0a1,5.0
DOC_fc6db525b9fc3a8de6ef,1.0
DOC_0e5cd8777c0cc7a527e8,4.0
DOC_ac6dd57d3708a4afdd71,4.0
DOC_e41825f30257694149b7,3.0
DOC_09410faa12d4a5b0b2da,3.0
DOC_c911037de44355d57149,5.0
DOC_52d60e7e849a02d55d8f,5.0
DOC_51ec0ec11577f4e1bfe3,5.0
DOC_f7d27184a34195239fbf,3.0
DOC_f011f2eca45071f49108,3.0
DOC_fe31d45e32f384928607,4.0
DOC_a0094c42edca29d65249,6.0
DOC_9284f3af942aa1c35f3f,3.0
DOC_9cfcb6a1b8031a1586e0,5.0
DOC_6ffa80c6ebd7f22bf828,1.0
DOC_9b751331b59f50e153d7,10.0
DOC_ad47a5aaeaa724c3de0e,3.0
DOC_ea6a8c5658557cfd61d7,4.0
DOC_104373c3c80b70dc7dc5,5.0
DOC_1f6e0ddebce398300733,5.0
DOC_0bc3b9546e74bd77935f,2.0
DOC_5be9ad1946d4cea4c73d,4.0
DOC_cd9bc0fa83f36be21f17,4.0
DOC_0eee57f7d1cd36783855,4.0
DOC_7bec198955f81ba4ec49,4.0
DOC_d9732b42c2c2a55aac15,4.0
DOC_cdbd0cd0be1849dd1bd5,4.0
DOC_20f7f8d2027e632151b5,4.0
DOC_c8abbb5d9eecbeae7709,5.0
DOC_9babe84e73f7d23a0036,5.0
DOC_42d83ac1c68e17e7d75e,5.0
DOC_6f4f398494c9ba6b1275,3.0
DOC_9f1b6c94a4a5eee8164f,2.0
DOC_b0c192c52cd4e55d29f2,4.0
DOC_6714ac3eeadca800c39d,0.0
DOC_73c29772f59b9c4270e9,2.0
DOC_ac53b0d4921dcb5355ba,4.0
DOC_66f7204c99645b6682e1,1.0
DOC_3b18934435cb05b3e9c2,4.0
DOC_d8ba7bcfd9c0de75ac76,3.0
DOC_4effff00c74ee314ae8e,5.0
DOC_f3df080cd46d5c622a97,0.0
DOC_dd169f5d607ef527cf06,2.0
DOC_0fc57e0bb5114751b4c2,1.0
DOC_8e2d9225d4deed14ad30,4.0
DOC_97d7a59571da60a88bf3,3.0
DOC_0c2a480e4c5e857f9291,3.0
DOC_d818394f315f31a52933,5.0
DOC_2f599560e3692fffdc0f,5.0
DOC_ce085524785092eeb264,4.0
DOC_9e3fc4726f22c6d9b5b3,4.0
DOC_e060333ec90ab98e89e4,4.0
DOC_c75f598d308c50bcfc68,6.0
DOC_f25887cc120a3032059b,3.0
DOC_333be7649e8c326be632,3.0
DOC_6a4a7c549eb6a5c3d3c7,5.0
DOC_0817e72236e0931e5b9e,4.0
DOC_2dcf0849b52e3d9270de,0.0
DOC_e94e4edfa5de17c6bed4,2.0
DOC_8dc7324cf3145b2f0512,5.0
DOC_3dd7f46ccf15b08b8983,7.0
DOC_861437a37288a5dbb510,4.0
DOC_ea7221b29e8c97c6018e,3.0
DOC_d62211cc21b0c7214b18,4.0
DOC_1102c753faad0ff818f5,4.0
DOC_aef26cabc0f31e7ccaa7,4.0
DOC_8742cacdb0ad6bb86d2e,4.0
DOC_5f85ac32545c419c5d93,6.0
DOC_3c58419b030ce291f049,4.0
DOC_fd2a506a5a0c0526d1be,3.0
DOC_0dd42830fd8f45812ea7,0.0
DOC_1047cd7d6a5f63b1faff,2.0
