surface,count,rank
cap cyra-d,95,1
cap irazole dsr,87,2
tab dolo,82,3
tab dolo 650 mg,78,4
syp looz,33,5
inj monocef,33,6
tab montair-lc,30,7
inj pan,28,8
inj emset,27,9
syp reswas,25,10
tab neurobion forte,24,11
tab azee 500 mg,24,12
tab drotin-m,23,13
tab azee,23,14
tab naxdom,22,15
tab augmentin,21,16
tab ebast-m,21,17
inj optineuron,21,18
tab augmentin duo 625,21,19
tab cyra-d,21,20
syp sucral-o,20,21
cap uprise d3,19,22
tab augmentin duo,18,23
tab thyronorm,17,24
tab ondem-md,17,25
tab tryptomer,16,26
cap rabium dsr,16,27
cap razo-d,16,28
inj mol,16,29
cap bifilac hp,15,30
tab bilazest-m,15,31
cap triscovit-od,14,32
tab caliska-cm,14,33
inj emset 4 mg,14,34
tab dytor,14,35
cap uprise d3 60k,13,36
tab augmentin duo 625 mg,13,37
syp sucrafil-o,13,38
inj pantop,13,39
tab zerodol-sp,13,40
syp alkasol,12,41
tab levobeta-m,12,42
cap cyra d,11,43
syp mucaine gel,11,44
inj pan 40 mg,11,45
tab telma,10,46
tab pcm,10,47
tab dolo 650mg,10,48
tab augmentin 625 mg,10,49
tab shelcal,10,50
tab a to z,10,51
tab drotin ds,10,52
tab supracal,9,53
syp alex,9,54
tab dolo 650,9,55
cap pulmoclear,9,56
tab carca,9,57
ors water,9,58
cap irazole-dsr,9,59
cap. cyra-d,9,60
tab abflo-n,9,61
tab drotin,8,62
inj emeset,8,63
tab aldactone,8,64
tab lcz,8,65
tab zerodol sp,8,66
syp sucralfil-o,8,67
inj mol 1 gm,7,68
tab zifi-cv,7,69
tab montair lc,7,70
tab oflox-oz,7,71
syp k-mac uti,6,72
tab naxdom 500 mg,6,73
syp omez-o,6,74
tab udiliv,6,75
tab limcee,6,76
tab triscomax-lc,6,77
tab cobart-m,6,78
tab irisovit od,6,79
tab pan,6,80
steam inhalation,6,81
syp reswas-ls,6,82
fosfomycin sachet,6,83
syp sucrate-o,6,84
tb. dolo,6,85
tab pulmoclear,6,86
tab iriscovit od,5,87
tab bandy plus,5,88
syp aptivate,5,89
tab iriscout-od,5,90
tab triscovit,5,91
tab irazole dsr,5,92
tab cilnidipine,5,93
tab folifil,5,94
syp ashtakind dx,5,95
tab iriscovit,5,96
tab dapa,5,97
tab levocet-m,5,98
betadine gargle,5,99
tab shelcal hd,5,100
tab rifagut,5,101
tab ecosprin av,5,102
tab drotin m,5,103
inj lasix,5,104
tab zifi,5,105
syp cremaffin,5,106
tab orofer-xt,5,107
cap omez-d,5,108
tab me-12,4,109
cap bifilac-hp,4,110
tab thyronorm 50 mcg,4,111
t. azee,4,112
cap irisovit-od,4,113
syp sucrotech-o,4,114
cap omez-d+,4,115
tab pcm 500 mg,4,116
inj rantac,4,117
tab vertin,4,118
tab zifi cv,4,119
tab zinvovit,4,120
ors sachet,4,121
tab irisovit,4,122
tab zerodol mr,4,123
tab iriscovit-od,4,124
inj arachitol,4,125
sachet fosfomycin,4,126
cap iriscovit-od,4,127
tab triscovit-od,4,128
dolo,4,129
tab dolo-650 mg,4,130
tab drotin-ds,4,131
syp ascoril-ls,4,132
tab irisomax-lc,3,133
tab shelcal ct,3,134
t. montair lc,3,135
inj pantop 40 mg,3,136
tab nodosis,3,137
syp grilinctus-bm,3,138
t. pcm,3,139
tab metrogyl,3,140
syrup a to z,3,141
tab telma 40 mg,3,142
tab irisovit plus,3,143
tab becosule,3,144
cap uprise-d3,3,145
isabgol husk,3,146
tab aceclo-p,3,147
tab irazole-dsr,3,148
tab gabapin-nt,3,149
cap irsco-pro,3,150
tb. montair lc,3,151
cap pan dsr,3,152
t. augmentin,3,153
tab ondem md,3,154
tab calsha-ds,3,155
tab heptral,3,156
ivf ns,3,157
tab ebat-m,3,158
cap irazol dsr,3,159
tab b-complex,3,160
tab iriscout,3,161
tab me12od,3,162
tab caliska-ds,3,163
inj thiamine,3,164
inj metrogyl,3,165
syp. omez-o,3,166
tb. zifi cv,3,167
tab atorva,3,168
t. dolo,3,169
t. dytor,3,170
tab atorva 20 mg,3,171
tab silybon,3,172
tab cardivas,3,173
inj pcm,3,174
tab iriscout od,3,175
tb aldactone,3,176
tab vertin 16 mg,3,177
