table_id,title,study,main_or_supplement,source_data,csv,tex,status,notes
table_annotation_model_benchmark_full,table annotation model benchmark full,Study A,SUPPLEMENTARY,paper_artifacts/benchmarking/annotation_model_leaderboard_reproduced.csv,paper_artifacts/tables/table_annotation_model_benchmark_full.csv,paper_artifacts/tables/table_annotation_model_benchmark_full.tex,VERIFIED_HISTORICAL,
table_annotation_model_benchmark_main,table annotation model benchmark main,Study A,SUPPLEMENTARY,paper_artifacts/benchmarking/annotation_model_leaderboard_reproduced.csv,paper_artifacts/tables/table_annotation_model_benchmark_main.csv,paper_artifacts/tables/table_annotation_model_benchmark_main.tex,VERIFIED_HISTORICAL,
table_final_corpus_accounting,table final corpus accounting,Study B,MAIN_CANDIDATE,derived/layer_b/layer_b_v1_1.csv; derived/layer_a_medication_mentions.csv,paper_artifacts/tables/table_final_corpus_accounting.csv,paper_artifacts/tables/table_final_corpus_accounting.tex,VERIFIED_FINAL,
table_knowledge_resources,table knowledge resources,Study B,SUPPLEMENTARY,knowledge/reports/OPERATIONAL_RESOURCE_MANIFEST.csv,paper_artifacts/tables/table_knowledge_resources.csv,paper_artifacts/tables/table_knowledge_resources.tex,VERIFIED_FINAL,
table_pipeline_disposition,table pipeline disposition,Study B,MAIN_CANDIDATE,derived/layer_b/layer_b_v1_1.csv; derived/layer_a_medication_mentions.csv,paper_artifacts/tables/table_pipeline_disposition.csv,paper_artifacts/tables/table_pipeline_disposition.tex,VERIFIED_FINAL,
table_qwen_by_fdc,table qwen by fdc,Study C,SUPPLEMENTARY,expert validation paper/04_local_open_models/qwen/qwen_final_validation762_results.csv,paper_artifacts/tables/table_qwen_by_fdc.csv,,VERIFIED_HISTORICAL,
table_qwen_by_resolution,table qwen by resolution,Study C,SUPPLEMENTARY,expert validation paper/04_local_open_models/qwen/qwen_final_validation762_results.csv,paper_artifacts/tables/table_qwen_by_resolution.csv,,VERIFIED_HISTORICAL,
table_qwen_by_semantic_id,table qwen by semantic id,Study C,SUPPLEMENTARY,expert validation paper/04_local_open_models/qwen/qwen_final_validation762_results.csv,paper_artifacts/tables/table_qwen_by_semantic_id.csv,,VERIFIED_HISTORICAL,
table_qwen_by_verification,table qwen by verification,Study C,SUPPLEMENTARY,expert validation paper/04_local_open_models/qwen/qwen_final_validation762_results.csv,paper_artifacts/tables/table_qwen_by_verification.csv,,VERIFIED_HISTORICAL,
table_qwen_semantic_audit,table qwen semantic audit,Study C,MAIN_CANDIDATE,expert validation paper/04_local_open_models/qwen/qwen_final_validation762_results.csv,paper_artifacts/tables/table_qwen_semantic_audit.csv,paper_artifacts/tables/table_qwen_semantic_audit.tex,VERIFIED_HISTORICAL,
table_resolution_levels,table resolution levels,Study B,MAIN_CANDIDATE,derived/layer_b/layer_b_v1_1.csv; derived/layer_a_medication_mentions.csv,paper_artifacts/tables/table_resolution_levels.csv,paper_artifacts/tables/table_resolution_levels.tex,VERIFIED_FINAL,
table_semantic_auditor_concordance,table semantic auditor concordance,Study C,SUPPLEMENTARY,paper_artifacts/tables/Table_LLM_Auditor_Concordance.csv,paper_artifacts/tables/table_semantic_auditor_concordance.csv,paper_artifacts/tables/table_semantic_auditor_concordance.tex,VERIFIED_HISTORICAL,
table_semantic_identifier_coverage,table semantic identifier coverage,Study B,SUPPLEMENTARY,derived/layer_b/layer_b_v1_1.csv; derived/layer_a_medication_mentions.csv,paper_artifacts/tables/table_semantic_identifier_coverage.csv,paper_artifacts/tables/table_semantic_identifier_coverage.tex,VERIFIED_FINAL,
